date,meantemp
2017-01-01,15.91
2017-01-02,18.5
2017-01-03,17.11
2017-01-04,18.7
2017-01-05,18.39
2017-01-06,19.32
2017-01-07,14.71
2017-01-08,15.68
2017-01-09,14.57
2017-01-10,12.11
2017-01-11,11.0
2017-01-12,11.79
2017-01-13,13.24
2017-01-14,13.2
2017-01-15,16.43
2017-01-16,14.65
2017-01-17,11.72
2017-01-18,13.04
2017-01-19,14.62
2017-01-20,15.26
2017-01-21,15.39
2017-01-22,18.44
2017-01-23,18.12
2017-01-24,18.35
2017-01-25,21.0
2017-01-26,16.18
2017-01-27,16.5
2017-01-28,14.86
2017-01-29,15.67
2017-01-30,16.44
2017-01-31,16.12
2017-02-01,15.25
2017-02-02,17.09
2017-02-03,15.64
2017-02-04,18.7
2017-02-05,18.63
2017-02-06,16.89
2017-02-07,15.12
2017-02-08,15.7
2017-02-09,15.37
2017-02-10,14.67
2017-02-11,15.62
2017-02-12,16.25
2017-02-13,16.33
2017-02-14,16.87
2017-02-15,17.57
2017-02-16,20.25
2017-02-17,21.3
2017-02-18,21.12
2017-02-19,22.36
2017-02-20,23.37
2017-02-21,21.83
2017-02-22,19.12
2017-02-23,18.62
2017-02-24,19.12
2017-02-25,19.0
2017-02-26,18.75
2017-02-27,19.87
2017-02-28,23.33
2017-03-01,24.46
2017-03-02,23.75
2017-03-03,20.5
2017-03-04,19.12
2017-03-05,19.75
2017-03-06,20.0
2017-03-07,22.62
2017-03-08,21.55
2017-03-09,20.79
2017-03-10,19.94
2017-03-11,18.53
2017-03-12,17.37
2017-03-13,17.44
2017-03-14,18.0
2017-03-15,19.87
2017-03-16,24.0
2017-03-17,20.9
2017-03-18,24.69
2017-03-19,24.67
2017-03-20,23.33
2017-03-21,25.0
2017-03-22,27.25
2017-03-23,28.0
2017-03-24,28.92
2017-03-25,26.5
2017-03-26,29.1
2017-03-27,29.5
2017-03-28,29.89
2017-03-29,31.0
2017-03-30,29.29
2017-03-31,30.62
2017-04-01,31.37
2017-04-02,29.75
2017-04-03,30.5
2017-04-04,30.93
2017-04-05,29.23
2017-04-06,31.22
2017-04-07,27.0
2017-04-08,25.62
2017-04-09,27.12
2017-04-10,27.86
2017-04-11,29.25
2017-04-12,29.25
2017-04-13,29.67
2017-04-14,30.5
2017-04-15,31.22
2017-04-16,31.0
2017-04-17,32.56
2017-04-18,34.0
2017-04-19,33.5
2017-04-20,34.5
